Lily Event ID,Location,Required Skills,Health Berry Event ID,Location,Required Skill,Stamina Berry Event ID,Location,Required Skill,Magic Berry Event ID,Location,Required Skill,Lumen Fairy,Location,Skill,Black Berry,Location,Skill
81 – 218,Koho08 OS,,30 – 215,Well08 SP,,200 – 217 – 201,Well34 SP,,135 – 216,Koho03 KV,Double Jump or wall jump,41 – 39,Well02 SPC,Double Jump or Wall Jump,164,DFC Cove11,
264 – 218,Koho18 KV,Double Jump and (Wall Jump or Lunar Attunement),27 – 215,Koho02 KV,,200 – 217 – 203,FV Spring11,,33,Well24 SP,Leaf or open springleaf or wall jump,354,Well34 SP,Double Jump or Wall Jump,58,FV Bark11,DJ or WJ or bell hover
28,Well19 SP,,29 – 215,Well15 SP,,200 – 217 – 303,AHC MarshHiddenHole,Lunar,95,LTR BarkHiddenHole,Leaf or open springleaf,44,SPC Well11,,,,
,OSC,,361,Well27 SP,,200 – 217 – 331,MV Demon02,,115,FV Spring13,,87,LTR Bark14,,,,
84,WellHiddenHole SP,,26,LTR Bark08,leaf or open springleaf,200 – 217 – 202,MR Bark26,patience,228,AHC Marsh15,WJ and DJ,51,LTR Bark15,,,,
118,LTR Bark13,,152,DFC Cove05,double jump,,,,341,Selin Moon25,Access to Selin,88,LTR Bark25,,,,
513,DFC Cove09,,24,LTR Bark17,,,,,295,DFC Cove30,WJ and DJ,352,DFC Cove03,,,,
166,DFC Cove16,,174,MR Bark39,,,,,,,,351,DFC Cove03,,,,
94,LTR Bark18,,116,FV Spring24,,,,,,,,162,DFC Cove10,,,,
244,MR Bark30,,35,FV Spring08,Same as Grimoire,,,,,,,54,LTR Bark18,bell hover or DJ or WJ,,,
172,MR Bark35,,31,SPC Well04,,,,,,,,346,MR Bark30,DJ,,,
38,FV Spring14,,89,FV Spring21,,,,,,,,57,FV Bark05,DJ or (WJ and (dash or perfect chime)),,,
343,FS Fairy04,DJ and (WJ or bell hover),143,FV Fairy06,,,,,,,,47,FV Spring02,DJ or (bell hover and (dash or perfect chime)),,,
23,FV Fairy08,,149,AHC Marsh11,DJ and (WJ or Lunar),,,,,,,93,FV Spring03,DJ or WJ,,,
169,DF Cove24,,356,AHC Marsh21,,,,,,,,137,FV Spring18,WJ or bell hover ,,,
130,AH Marsh02,,246,AHC Marsh24,,,,,,,,91,FV Spring22,DJ,,,
302,AHC Masrh27,DJ and WJ and Lunar,165,DFC CoveHiddenHole,,,,,,,,342,FS Fairy04,DJ and (WJ or bell hover),,,
247,AHC Marsh29,DJ and WJ and Lunar,359,MV Demon09,,,,,,,,168,DF Cove23,DJ,,,
334,MV Demon05,,332,MVW Demon13,,,,,,,,355,AH Cove27,DJ or The Blesed?,,,
336,MV Demon11,,360,FOR Demon21,,,,,,,,221,AH Marsh05,,,,
301,MVW Demon22,,348,FOR Moon12,,,,,,,,224,AHC Marsh13,,,,
333,FOR Demon21,,349,FOR Moon38,,,,,,,,229,AHC Marsh16,,,,
286,FOR Moon19,,219,AH Marsh04,patience,,,,,,,238,AHC Marsh20,,,,
285,FOR Moon18,,282,KV Koho19,patience,,,,,,,357,AHC Marsh22,WJ,,,
323,FOR Moon25,,,,,,,,,,,300,MV Demon23,,,,
322,FOR Moon31,,,,,,,,,,,288,FOR Moon07,,,,
,,,,,,,,,,,,287,FOR Moon20,,,,
,,,,,,,,,,,,46,SP Well31,WJ or DJ,,,
