Item Name, Item ID, Momo Event ID,Extra Need
Ascended Slash,442,450,
Chrysanth,431,450,Cereza
Cloudy Blood,400,450,
Companionship Pact,436,450,
Dark Healer,402,450,DFC OR Spiral Shell  AND Perfect Chime
Demilune Whisper,403,450,
Fallen Hero,422,450,Cereza
Glazed Aegis,433,450,
Hare,448,450,
Last Wish,123,450,Cereza
Living Blood,420,450,
Living Edge,412,450,
Magic Blade,404,450,
Mending Resonance,434,450,Lunar Attunement
Mudwalker,447,450,
Oracle,441,450,All Lumen Fairies
Pawn,440,450,
Perfect Chime,405,450,
Phantasm Blade,439,450,
Queen of Dusk,437,450,Cereza
Queen of Light,406,450,Cereza
Quintessence,443,450,
Resolve,444,450,Lunar Attunement
Resonance of Ifriya,425,450,
Serval,445,450,Double Jump or Bell Hover
Strongfist,408,450,Cereza
The Arsonist,430,450,
The Blessed,435,450,
The Collector,426,450,Cereza
The Fool,419,450,
The Fortunate,432,450,
The Hunter,427,450,
The Profiteer,401,450,Cereza
The Sharpshooter,438,450,
Trinary,449,450,
Welkin Leaf,446,450,Crescent Moonflower AND Spiral Shell
